Year,Age,Population,DeathCount,Rate
1975,<13,45851304,3643,7.9
1975,13-19,29795023,8748,29.4
1975,20-34,50998098,15074,29.6
1975,35-69,74764829,13080,17.5
1975,70+,14563945,3775,25.9
1976,<13,45000704,3424,7.6
1976,13-19,29909414,9356,31.3
1976,20-34,52745005,15517,29.4
1976,35-69,75419921,13137,17.4
1976,70+,14960120,3896,26.0
1977,<13,44337332,3347,7.5
1977,13-19,29800313,9633,32.3
1977,20-34,54497448,17287,31.7
1977,35-69,76203083,13460,17.7
1977,70+,15401249,3859,25.1
1978,<13,43907467,3367,7.7
1978,13-19,29543252,9940,33.6
1978,20-34,55909063,18886,33.8
1978,35-69,77348222,14020,18.1
1978,70+,15876541,3824,24.1
1979,<13,43778959,3171,7.2
1979,13-19,29077607,9920,34.1
1979,20-34,57499197,19675,34.2
1979,35-69,78311107,14232,18.2
1979,70+16388617,3772,23.0
1980,<13,43914342,3048,6.9
1980,13-19,28486487,9524,33.4
1980,20-34,58814391,20110,34.2
1980,35-69,79111522,14219,18.0
1980,70+,16897977,3861,22.8
1981,<13,44049940,2733,6.2
1981,13-19,27743947,8315,30.0
1981,20-34,60563416,19887,32.8
1981,35-69,79785591,13950,17.5
1981,70+,17322714,3871,22.3
1982,<13,44131596,2573,5.8
1982,13-19,27160586,7323,27.0
1982,20-34,61099524,17465,28.6
1982,35-69,81488902,12685,15.6
1982,70+,17783888,3655,20.6
1983,<13,44119297,2518,5.7
1983,13-19,26737497,6805,25.5
1983,20-34,61840154,16853,27.3
1983,35-69,82861204,12488,15.1
1983,70+,18233751,3734,20.5
1984,<13,43978044,2422,5.5
1984,13-19,26435885,6952,26.3
1984,20-34,62491255,17579,28.1
1984,35-69,84256661,13006,15.4
1984,70+,18662938,4052,21.7
1985,<13,44260136,2469,5.6
1985,13-19,26001247,6737,25.9
1985,20-34,62961154,17031,27.1
1985,35-69,85628410,13126,15.3
1985,70+,19072785,4206,22.1
1986,<13,44755454,2537,5.7
